Session	 TrialNumber	 Onset	 Word	 Object	 Cond	 IntRat	 RT	 StimDuration	 CriterionTest
1	 1	 0.0045	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 2	 1.8182	 ÉCOLOGIE	 tent	 1	 1	 1.0652	 2.9999	 1
1	 3	 7.8491	 IRONIE	 umbrella04	 2	 2	 1.8794	 2.9999	 1
1	 4	 13.8801	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 5	 16.0969	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 6	 17.5132	 TROU	 teapot	 2	 1	 1.1087	 2.9998	 1
1	 7	 23.7464	 VERTU	 shipinabottle	 2	 1	 1.1877	 2.9999	 1
1	 8	 30.3794	 SENTEUR	 accordion01	 2	 1	 1.1463	 2.9999	 1
1	 9	 36.4125	 DISTINCTION	 qtip	 2	 1	 1.0810	 2.9999	 1
1	 10	 41.8455	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 11	 43.2620	 UNI	 hammer01	 1	 1	 1.0311	 2.9999	 1
1	 12	 49.4952	 CALME	 bench01	 1	 1	 0.7500	 2.9999	 1
1	 13	 56.1286	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 14	 58.3448	 PAYS	 eraser	 2	 2	 1.1719	 2.9999	 1
1	 15	 64.1779	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 16	 66.7945	 TERRE	 tongs01b	 1	 1	 0.8983	 2.9999	 1
1	 17	 73.4293	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 18	 75.6441	 AMOUR	 giraffe	 2	 1	 1.2721	 2.9999	 1
1	 19	 81.8772	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 20	 84.0937	 CHAUD	 satellitedish01	 1	 1	 0.8065	 2.9999	 1
1	 21	 90.7204	 FACULTÉ	 chain01	 1	 1	 0.9017	 2.9999	 1
1	 22	 96.9415	 PUISSANCE	 castle	 2	 2	 1.4445	 2.9999	 1
1	 23	 103.5763	 EFFORT	 locomotive	 2	 2	 1.2034	 2.9999	 1
1	 24	 109.4093	 CONSEIL	 axe01	 2	 0	   NaN	 2.9998	 1
1	 25	 116.0424	 FAVEUR	 africanelephant	 1	 1	 0.6811	 2.9999	 1
1	 26	 122.0611	 DÉVOTION	 skunk	 1	 1	 1.1123	 2.9999	 1
1	 27	 128.0918	 FORTUNE	 acousticguitar02	 1	 1	 0.7829	 2.9999	 1
1	 28	 133.9254	 ABSTRAIT	 jackrabbit	 2	 1	 1.3336	 2.9999	 1
1	 29	 140.5580	 ESPRIT	 balloon01b	 2	 2	 1.0846	 2.9999	 1
1	 30	 145.9910	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 31	 148.2076	 LISSE	 hand01b	 1	 1	 1.1308	 2.9999	 1
1	 32	 154.0407	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 33	 156.0572	 NEUTRE	 candelabra	 1	 1	 0.9926	 2.9999	 1
1	 34	 161.4810	 SOUPLESSE	 bust	 1	 1	 1.0561	 2.9999	 1
1	 35	 167.5067	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 36	 168.9233	 AMITIÉ	 lip	 2	 1	 0.8062	 2.9999	 1
1	 37	 174.7501	 CARRÉ	 carbattery	 2	 1	 1.0455	 2.9998	 1
1	 38	 180.9727	 NOTE	 doormat	 1	 1	 0.9803	 2.9999	 1
1	 39	 186.3922	 GLOIRE	 magnifyingglass01b	 1	 1	 0.9637	 2.9999	 1
1	 40	 192.2085	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 41	 193.6221	 POSTE	 motorboat02	 1	 1	 0.8105	 2.9998	 1
1	 42	 199.6447	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 43	 201.0552	 VALEUR	 banana01	 1	 1	 0.8572	 2.9999	 1
1	 44	 206.8811	 ATTITUDE	 lipstick02a	 1	 1	 0.9767	 2.9999	 1
1	 45	 213.0946	 VÉRITÉ	 couch02	 2	 1	 1.0005	 2.9998	 1
1	 46	 219.1207	 ESTIMATION	 wallclock	 2	 1	 1.4549	 2.9999	 1
1	 47	 225.7542	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 48	 228.3707	 ATTENTION	 bridge	 1	 1	 0.7812	 2.9999	 1
1	 49	 234.5892	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 50	 237.2037	 MALICE	 doorhandle	 2	 1	 1.0918	 2.9999	 1
1	 51	 243.4367	 LOURD	 mushroom01	 2	 2	 1.7704	 2.9999	 1
1	 52	 249.2698	 CHAUD	 satellitedish01	 1	 1	 0.5293	 2.9999	 1
1	 53	 255.8903	 UNI	 hammer01	 1	 1	 0.9127	 2.9999	 1
1	 54	 262.1066	 SENTEUR	 accordion01	 2	 1	 0.7762	 2.9999	 1
1	 55	 268.1262	 ESPRIT	 balloon01b	 2	 1	 0.9995	 2.9999	 1
1	 56	 274.1526	 AMITIÉ	 lip	 2	 1	 1.1744	 2.9999	 1
1	 57	 279.5851	 ATTITUDE	 lipstick02a	 1	 1	 0.9172	 2.9999	 1
1	 58	 286.2177	 FAVEUR	 africanelephant	 1	 1	 0.7958	 2.9998	 1
1	 59	 292.2388	 ATTENTION	 bridge	 1	 1	 1.1392	 2.9998	 1
1	 60	 297.6676	 PUISSANCE	 castle	 2	 1	 1.5059	 2.9999	 1
1	 61	 303.7008	 FORTUNE	 acousticguitar02	 1	 1	 0.6729	 2.9999	 1
1	 62	 309.5276	 GLOIRE	 magnifyingglass01b	 1	 1	 0.5921	 2.9999	 1
1	 63	 316.1415	 ABSTRAIT	 jackrabbit	 2	 1	 1.1356	 2.9998	 1
1	 64	 321.5667	 TROU	 teapot	 2	 1	 0.7423	 2.9999	 1
1	 65	 327.5909	 TERRE	 tongs01b	 1	 1	 0.6857	 2.9999	 1
1	 66	 333.0138	 CALME	 bench01	 1	 1	 0.9324	 2.9999	 1
1	 67	 338.8502	 SOUPLESSE	 bust	 1	 1	 0.9472	 2.9999	 1
1	 68	 345.0684	 CARRÉ	 carbattery	 2	 1	 1.0826	 2.9999	 1
1	 69	 351.0988	 DISTINCTION	 qtip	 2	 1	 0.5452	 2.9999	 1
1	 70	 356.9199	 VERTU	 shipinabottle	 2	 0	   NaN	 2.9999	 1
1	 71	 362.7482	 MALICE	 doorhandle	 2	 1	 1.0554	 2.9999	 1
1	 72	 368.9813	 VALEUR	 banana01	 1	 1	 0.9502	 2.9999	 1
1	 73	 375.0142	 DÉVOTION	 skunk	 1	 1	 0.8769	 2.9999	 1
1	 74	 381.6372	 ÉCOLOGIE	 tent	 1	 1	 0.7964	 2.9999	 1
1	 75	 387.0508	 PAYS	 eraser	 2	 1	 0.6918	 2.9999	 1
1	 76	 393.2718	 VÉRITÉ	 couch02	 2	 1	 1.7872	 2.9999	 1
1	 77	 399.4967	 POSTE	 motorboat02	 1	 1	 1.4019	 2.9999	 1
1	 78	 405.3297	 FACULTÉ	 chain01	 1	 1	 0.7448	 2.9999	 1
1	 79	 411.9513	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 80	 414.5627	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
1	 81	 417.1792	 LOURD	 mushroom01	 2	 1	 1.0631	 2.9999	 1
1	 82	 422.6123	 CONSEIL	 axe01	 2	 2	 0.7759	 2.9999	 1
1	 83	 428.4366	 LISSE	 hand01b	 1	 1	 0.7170	 2.9999	 1
1	 84	 434.2615	 NOTE	 doormat	 1	 1	 0.7638	 2.9999	 1
1	 85	 439.6811	 EFFORT	 locomotive	 2	 2	 0.7792	 2.9999	 1
1	 86	 445.6988	 AMOUR	 giraffe	 2	 1	 0.8029	 2.9998	 1
1	 87	 451.1248	 IRONIE	 umbrella04	 2	 1	 1.0340	 2.9832	 1
1	 88	 457.1446	 NEUTRE	 candelabra	 1	 0	   NaN	 2.9999	 1
1	 89	 462.9773	 ESTIMATION	 wallclock	 2	 1	 0.7355	 2.9999	 1
1	 90	 468.4082	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 1	 0.0017	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 2	 2.0205	 GLOIRE	 magnifyingglass01b	 1	 1	 0.8419	 2.9999	 1
2	 3	 8.6437	 TROU	 teapot	 2	 2	 0.9770	 2.9999	 1
2	 4	 14.8583	 VALEUR	 banana01	 1	 1	 1.4324	 2.9999	 1
2	 5	 21.4850	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 6	 23.7016	 PAYS	 eraser	 2	 2	 0.7345	 2.9999	 1
2	 7	 30.3335	 IRONIE	 umbrella04	 2	 2	 0.7733	 2.9999	 1
2	 8	 36.1611	 NOTE	 doormat	 1	 1	 0.9567	 2.9999	 1
2	 9	 42.7774	 SOUPLESSE	 bust	 1	 1	 0.7161	 2.9999	 1
2	 10	 48.8010	 SENTEUR	 accordion01	 2	 2	 0.8189	 2.9999	 1
2	 11	 54.6314	 FACULTÉ	 chain01	 1	 1	 0.8260	 2.9999	 1
2	 12	 60.6574	 AMOUR	 giraffe	 2	 1	 1.2250	 2.9999	 1
2	 13	 67.2831	 PUISSANCE	 castle	 2	 2	 0.8478	 2.9999	 1
2	 14	 73.9017	 POSTE	 motorboat02	 1	 1	 0.9193	 2.9999	 1
2	 15	 80.1299	 ATTITUDE	 lipstick02a	 1	 1	 0.6780	 2.9999	 1
2	 16	 85.5542	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 17	 87.5655	 ESPRIT	 balloon01b	 2	 2	 1.0448	 2.9999	 1
2	 18	 93.5985	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 19	 95.6151	 FORTUNE	 acousticguitar02	 1	 1	 0.8753	 2.9999	 1
2	 20	 101.6396	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 21	 103.6482	 TERRE	 tongs01b	 1	 1	 1.1456	 2.9999	 1
2	 22	 110.2812	 LISSE	 hand01b	 1	 1	 1.0564	 2.9999	 1
2	 23	 115.7142	 FAVEUR	 africanelephant	 1	 1	 1.3512	 2.9999	 1
2	 24	 121.1473	 AMITIÉ	 lip	 2	 2	 0.7498	 2.9999	 1
2	 25	 126.5806	 VERTU	 shipinabottle	 2	 1	 0.6690	 2.9999	 1
2	 26	 132.0113	 EFFORT	 locomotive	 2	 2	 1.1073	 2.9999	 1
2	 27	 138.6467	 CARRÉ	 carbattery	 2	 1	 0.7864	 2.9999	 1
2	 28	 145.2767	 CHAUD	 satellitedish01	 1	 1	 0.5298	 2.9832	 1
2	 29	 151.0829	 DÉVOTION	 skunk	 1	 1	 0.6969	 2.9999	 1
2	 30	 156.4989	 NaN	 NaN	 0	 NaN	   NaN	 0.0000	 NaN
2	 31	 158.7124	 ABSTRAIT	 jackrabbit	 2	 2	 1.4001	 2.9999	 1
2	 32	 164.7455	 ESTIMATION	 wallclock	 2	 2	 0.8868	 2.9999	 1
2	 33	 170.1751	 UNI	 hammer01	 1	 1	 0.8939	 2.9832	 1
2	 34	 175.5844	 CALME	 bench01	 1	 1	 0.9013	 2.9999	 1
2	 35	 181.4102	 VÉRITÉ	 couch02	 2	 2	 0.6763	 2.9999	 1
